carrera,2019,2020,2021,2022,2023,2024,2025,2026,2027,primer_ciclo,ultimo_ciclo,n_ciclos
ADMINISTRACION DE EMPRESAS,1,1,1,1,1,1,1,1,1,2019,2027,9
ADMINISTRACION Y GESTION PUBLICA,0,0,0,0,0,0,0,1,0,2026,2026,1
ADMINISTRACION Y MARKETING,0,0,0,0,0,0,0,1,0,2026,2026,1
ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES,0,0,0,0,0,0,1,1,0,2025,2026,2
APRESTAMIENTO,0,0,0,1,1,1,1,0,0,2022,2025,4
ARQUITECTURA,1,1,1,1,1,1,1,1,1,2019,2027,9
CIENCIA POLITICA Y GOBIERNO,1,1,1,1,1,1,1,1,1,2019,2027,9
COMUNICACION SOCIAL,1,1,1,1,1,1,1,1,1,2019,2027,9
CONTABILIDAD,0,1,1,1,1,1,1,1,1,2020,2027,8
DERECHO,1,1,1,1,1,1,1,1,1,2019,2027,9
DISEÑO GRAFICO PUBLICITARIO,0,0,0,0,0,1,1,1,0,2024,2026,3
ECONOMIA Y FINANZAS,0,0,0,0,0,1,1,1,0,2024,2026,3
EDUCACION INICIAL,0,1,1,1,1,1,1,1,1,2020,2027,8
EDUCACION PRIMARIA,0,1,1,0,0,0,0,1,0,2020,2026,3
EDUCACION SECUNDARIA,0,0,1,0,0,1,1,1,0,2021,2026,4
ENFERMERIA,0,1,1,1,1,1,1,1,1,2020,2027,8
FARMACIA Y BIOQUIMICA,0,1,1,1,1,1,1,1,1,2020,2027,8
INGENIERIA AGRONOMICA Y AGRICOLA,1,1,1,1,1,1,1,1,0,2019,2026,8
INGENIERIA AMBIENTAL,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA BIOMEDICA,0,0,0,0,0,0,0,1,1,2026,2027,2
INGENIERIA BIOTECNOLOGICA,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA CIVIL,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA COMERCIAL,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA DE INDUSTRIA ALIMENTARIA,1,1,1,1,1,1,1,1,0,2019,2026,8
INGENIERIA DE MINAS,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA DE SEGURIDAD INDUSTRIAL Y MINERA,0,0,0,0,0,0,0,1,0,2026,2026,1
INGENIERIA DE SISTEMAS,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA ELECTRONICA,1,0,1,1,0,0,0,0,0,2019,2022,3
INGENIERIA EN INTELIGENCIA ARTIFICIAL,0,0,0,0,0,0,0,1,1,2026,2027,2
"INGENIERIA EN TELECOMUNICACIONES, REDES Y CONECTIVIDAD",0,0,0,0,0,1,0,0,0,2024,2024,1
INGENIERIA INDUSTRIAL,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA MECANICA,1,1,1,1,1,1,1,1,1,2019,2027,9
INGENIERIA MECANICA ELECTRICA,0,1,1,1,1,1,1,1,1,2020,2027,8
INGENIERIA MECATRONICA,1,1,1,1,1,1,1,1,1,2019,2027,9
MARKETING DIGITAL,0,0,0,0,0,1,1,0,0,2024,2025,2
MARKETING Y GESTION COMERCIAL,0,0,0,0,0,1,1,0,0,2024,2025,2
MEDICINA HUMANA,1,1,1,1,1,1,1,1,1,2019,2027,9
MEDICINA VETERINARIA Y ZOOTECNIA,1,1,1,1,1,1,1,1,1,2019,2027,9
OBSTETRICIA Y PUERICULTURA,1,1,1,1,1,1,1,1,1,2019,2027,9
ODONTOLOGIA,1,1,1,1,1,1,1,1,1,2019,2027,9
PSICOLOGIA,1,1,1,1,1,1,1,1,1,2019,2027,9
PUBLICIDAD Y MULTIMEDIA,1,1,1,1,1,1,1,1,1,2019,2027,9
TECNOLOGIA MEDICA EN TERAPIA FISICA Y REHABILITACION,0,0,0,0,0,1,1,1,1,2024,2027,4
TEOLOGIA,1,1,1,0,0,1,1,1,0,2019,2026,6
TRABAJO SOCIAL,0,0,1,0,0,1,1,1,0,2021,2026,4
TURISMO Y GASTRONOMIA,0,0,0,0,0,1,1,1,0,2024,2026,3
TURISMO Y HOTELERIA,1,1,1,0,0,0,0,0,0,2019,2021,3
